old_url,final_status,final_url,matched_new_route,confidence,recommendation
"https://www.stairwaymortgage.com/",200,"https://www.stairwaymortgage.com/","",0,OK
"https://www.stairwaymortgage.com/0-approval_2/",404,"https://www.stairwaymortgage.com/0-approval_2/","",0,REBUILD
"https://www.stairwaymortgage.com/1031-exchange-delaware-statutory-trust/",404,"https://www.stairwaymortgage.com/1031-exchange-delaware-statutory-trust/","/blog/1031-exchange-delaware-statutory-trust/",0.8,301
"https://www.stairwaymortgage.com/1031-exchange-for-dummies/",404,"https://www.stairwaymortgage.com/1031-exchange-for-dummies/","/blog/1031-exchange-for-dummies/",0.8,301
"https://www.stairwaymortgage.com/2025/05/11/apply-for-mortgage/",200,"https://www.stairwaymortgage.com/2025/05/11/apply-for-mortgage/","",0,OK
"https://www.stairwaymortgage.com/2025/05/11/mortgage-broker-vs-lender/",200,"https://www.stairwaymortgage.com/2025/05/11/mortgage-broker-vs-lender/","",0,OK
"https://www.stairwaymortgage.com/2025/05/11/mortgage-preapproval/",200,"https://www.stairwaymortgage.com/2025/05/11/mortgage-preapproval/","",0,OK
"https://www.stairwaymortgage.com/2025/05/21/passive-income-investments/",200,"https://www.stairwaymortgage.com/2025/05/21/passive-income-investments/","",0,OK
"https://www.stairwaymortgage.com/2025/07/04/first-time-home-buyer-programs/",200,"https://www.stairwaymortgage.com/2025/07/04/first-time-home-buyer-programs/","",0,OK
"https://www.stairwaymortgage.com/2025/07/04/long-term-rental-vs-short-term-rental/",200,"https://www.stairwaymortgage.com/2025/07/04/long-term-rental-vs-short-term-rental/","",0,OK
"https://www.stairwaymortgage.com/2025/07/05/brrrr-method/",200,"https://www.stairwaymortgage.com/2025/07/05/brrrr-method/","",0,OK
"https://www.stairwaymortgage.com/2025/07/09/vision-board-examples/",200,"https://www.stairwaymortgage.com/2025/07/09/vision-board-examples/","",0,OK
"https://www.stairwaymortgage.com/2025/07/29/buying-your-first-home/",200,"https://www.stairwaymortgage.com/2025/07/29/buying-your-first-home/","",0,OK
"https://www.stairwaymortgage.com/2025/07/29/house-hacking/",200,"https://www.stairwaymortgage.com/2025/07/29/house-hacking/","",0,OK
"https://www.stairwaymortgage.com/2025/10/20/mortgage-estimator-florida/",200,"https://www.stairwaymortgage.com/2025/10/20/mortgage-estimator-florida/","",0,OK
"https://www.stairwaymortgage.com/2025/11/03/appraisal-when-buying-a-house/",200,"https://www.stairwaymortgage.com/2025/11/03/appraisal-when-buying-a-house/","",0,OK
"https://www.stairwaymortgage.com/2025/11/03/authorized-user-credit-card/",200,"https://www.stairwaymortgage.com/2025/11/03/authorized-user-credit-card/","",0,OK
"https://www.stairwaymortgage.com/2025/11/03/best-mortgage-company/",200,"https://www.stairwaymortgage.com/2025/11/03/best-mortgage-company/","",0,OK
"https://www.stairwaymortgage.com/2025/11/03/closing-costs-for-buyers/",200,"https://www.stairwaymortgage.com/2025/11/03/closing-costs-for-buyers/","",0,OK
"https://www.stairwaymortgage.com/2025/11/03/college-savings/",200,"https://www.stairwaymortgage.com/2025/11/03/college-savings/","",0,OK
"https://www.stairwaymortgage.com/2025/11/03/final-walkthrough-before-closing/",200,"https://www.stairwaymortgage.com/2025/11/03/final-walkthrough-before-closing/","",0,OK
