Reason,Source,Validation,Pages
Page with redirect,Website,Not Started,302
Excluded by ‘noindex’ tag,Website,Not Started,190
Not found (404),Website,Not Started,115
Alternate page with proper canonical tag,Website,Not Started,31
Blocked due to access forbidden (403),Website,Not Started,26
Redirect error,Website,Not Started,5
Soft 404,Website,Not Started,3
Blocked by robots.txt,Website,Not Started,1
Crawled - currently not indexed,Google systems,Not Started,501
"Duplicate, Google chose different canonical than user",Google systems,Not Started,5
Server error (5xx),Website,N/A,0
Duplicate without user-selected canonical,Website,Passed,0
Discovered - currently not indexed,Google systems,Passed,0
